Date Time,Consumption [kW],Generator [kW],Heater [KW],Office [kW],AC [kW],Motor pump [kW],Solar [kW],temperature
1574274712,0.445410788,0.00355005,0.021279825,0.0446856,0.005614267,0.033082933,0.00355695,36.69501
1574274713,0.456469286,0.0035329,0.031584825,0.04472,0.005203467,0.033117467,0.003539766,36.69501
1574274714,0.46504273,0.0035329,0.110658525,0.0447544,0.005203467,0.033117467,0.003539766,36.69501
1574274715,0.472054137,0.0035672,0.118559025,0.044806,0.0052377,0.033013867,0.003574134,36.69501
1574274716,0.672669158,0.0035672,0.163729275,0.0447888,0.0847275,0.032910267,0.003574134,36.2142
1574274717,1.139593431,0.0036015,0.51281115,0.044978,0.175497183,0.0328412,0.0036085,36.2142
1574274718,1.08233064,0.0035672,0.480917175,0.0449264,0.15358785,0.032875733,0.003574134,36.2142
1574274719,0.874029696,0.0035672,0.460581975,0.044978,0.0107835,0.032910267,0.003574134,36.2142
1574274720,0.57422544,0.00361865,0.1031874,0.0447544,0.007822317,0.0329448,0.003625684,36.2142
1574274721,0.601064045,0.0035672,0.0217092,0.044634,0.005357517,0.032927533,0.003574134,36.2142
1574274722,1.023701069,0.0036015,0.022379025,0.0443416,0.005973717,0.032875733,0.0036085,36.2142
1574274723,1.303269869,0.00355005,0.022671,0.0442384,0.00559715,0.138806733,0.00355695,36.2142
1574274724,1.180792109,0.00358435,0.032649675,0.0442212,0.005562917,0.086385133,0.003591316,36.2142
1574274725,1.155497789,0.0035672,0.112719525,0.044204,0.005477333,0.032772133,0.003574134,36.2142
1574274726,0.615122362,0.00358435,0.117528525,0.04472,0.005271933,0.033013867,0.003591316,36.2142
1574274727,0.453788976,0.0036015,0.0641658,0.0447372,0.005682733,0.033013867,0.0036085,36.2142
1574274728,0.502425072,0.00358435,0.1191945,0.0448404,0.005220583,0.033117467,0.003591316,36.2142
1574274729,0.517477411,0.0035329,0.2084358,0.0448232,0.00518635,0.0332556,0.003539766,36.2142
1574274730,0.782987894,0.00355005,0.472295325,0.0450468,0.004946717,0.0332556,0.00355695,36.2142
1574274731,0.776491248,0.0035329,0.4658547,0.0449436,0.00498095,0.033238333,0.003539766,36.2142
1574274732,0.491863584,0.00358435,0.1829481,0.0448748,0.005614267,0.033272867,0.003591316,36.2142
1574274733,0.32836465,0.00355005,0.0214344,0.0447372,0.005323283,0.033221067,0.00355695,36.2142
1574274734,0.385378934,0.00355005,0.021588975,0.0448232,0.0053404,0.033134733,0.00355695,36.2142
1574274735,0.514477594,0.00358435,0.0217779,0.0446684,0.009243,0.0332038,0.003591316,36.2142
1574274736,1.048640381,0.00351575,0.0346248,0.0444104,0.005614267,0.033186533,0.003522584,36.2142
1574274737,1.173638697,0.0035672,0.071465175,0.044204,0.006025067,0.0331002,0.003574134,36.2142
1574274738,1.170585629,0.00351575,0.071671275,0.044376,0.005614267,0.033013867,0.003522584,36.2142
1574274739,1.165651017,0.0035329,0.071911725,0.044204,0.005614267,0.033065667,0.003539766,36.2142
1574274740,1.114174858,0.0035672,0.072289575,0.0443244,0.00559715,0.0332038,0.003574134,36.2142
1574274741,1.028387174,0.00355005,0.071808675,0.0441868,0.0055458,0.0329966,0.00355695,36.2142
1574274742,0.652185197,0.0035672,0.071705625,0.0446168,0.047310467,0.033082933,0.003574134,36.2142
1574274743,0.55956361,0.0035672,0.07161975,0.04472,0.144635833,0.0332038,0.003574134,36.2142
1574274744,0.547209331,0.00351575,0.07148235,0.0447716,0.136368483,0.0329966,0.003522584,36.2142
1574274745,0.50325934,0.00355005,0.027943725,0.0446684,0.13438295,0.033082933,0.00355695,36.2142
1574274746,0.495839674,0.0035672,0.02153745,0.0447544,0.133321717,0.033221067,0.003574134,36.2142
1574274747,0.491135818,0.00355005,0.02126265,0.0446168,0.132260483,0.0330484,0.00355695,36.2142
1574274748,0.489786787,0.00355005,0.021245475,0.0447544,0.13140465,0.032979333,0.00355695,36.2142
1574274749,0.490443552,0.00351575,0.021382875,0.0446512,0.131028083,0.0331002,0.003522584,36.2142
1574274750,0.526867373,0.00355005,0.05836065,0.0447028,0.13037765,0.033082933,0.00355695,36.2142
1574274751,0.539736412,0.0035329,0.071156025,0.0446512,0.129881267,0.033013867,0.003539766,36.2142
1574274752,0.577473764,0.00355005,0.0716541,0.0448404,0.12955605,0.033065667,0.00355695,36.2142
1574274753,0.725636352,0.00355005,0.0718602,0.0447372,0.129025433,0.033117467,0.00355695,36.2142
1574274754,1.10143007,0.00355005,0.072358275,0.0444792,0.128648867,0.0331002,0.00355695,36.2142
1574274755,1.33390706,0.0034986,0.0725472,0.044462,0.128289417,0.032927533,0.0035054,36.2142
1574274756,1.296790973,0.00355005,0.0726159,0.044204,0.127929967,0.033065667,0.00355695,36.2142
1574274757,1.189525306,0.00355005,0.072426975,0.0441696,0.127536283,0.0328412,0.00355695,36.2142
1574274758,0.881626867,0.0035672,0.093002625,0.044548,0.127330883,0.0329966,0.003574134,36.2142
1574274759,0.666776026,0.0035329,0.2137944,0.0448232,0.126800267,0.033031133,0.003539766,36.2142
1574274760,0.665657751,0.00351575,0.212918475,0.04472,0.126594867,0.033065667,0.003522584,36.2142
1574274761,0.66521399,0.00355005,0.21259215,0.0447544,0.126286767,0.032962067,0.00355695,36.2142
1574274762,0.664645978,0.0035329,0.21293565,0.0447028,0.125995783,0.0329966,0.003539766,36.2142
1574274763,0.664894483,0.00355005,0.213433725,0.0447028,0.125824617,0.032979333,0.00355695,36.2142
1574274764,0.665089737,0.00355005,0.21307305,0.0447028,0.125619217,0.032962067,0.00355695,36.2142
1574274765,0.666687273,0.0035329,0.213090225,0.0447544,0.1253967,0.032979333,0.003539766,36.2142
1574274766,0.692922365,0.0035329,0.21369135,0.0446856,0.125225533,0.0329966,0.003539766,36.2142
1574274767,0.771556637,0.0035672,0.180492075,0.0446684,0.125020133,0.0329448,0.003574134,36.2142
1574274768,0.858941856,0.0035329,0.072667425,0.0445996,0.124900317,0.033031133,0.003539766,36.2142
1574274769,1.268905094,0.0035329,0.0730968,0.0442556,0.077504267,0.032806667,0.003539766,36.2142
1574274770,1.174330963,0.0035329,0.0731655,0.0442728,0.00559715,0.032910267,0.003539766,36.2142
1574274771,1.16976911,0.0034986,0.073148325,0.0445652,0.005580033,0.032754867,0.0035054,36.2142
